State,Medical.Year,Medical.Status,Decriminalized.Year,Decriminalized.Status,Pseudo.Year,Pseudo.Status,Legalized.Year,Legalized.Status

Alabama,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Alaska,1998,"Ballot Measure 8 was passed in November 1998 by 58% majority, taking effect in June 1999. All medical marijuana patients in Alaska must enroll in a state patient registry.",1975,"Possession of up to 4 ounces of marijuana has technically been legal under state law since 1975, surviving recriminalization challenges by voter initiative in 1991 and a subsequent attempt by Gov. Frank Murkowski in 2004. In 2006, the courts upheld the law, but the state legislature subsequently recriminalized possession of even small amounts of weed, leaving the state of affairs somewhat unclear",0,Illegal,0,Illegal
Arizona,2010,"In November 2010, Arizona voters legalized medical marijuana with Proposition 203, which passed with just 50.13% of the vote.",0,Illegal,0,Illegal,0,Illegal
Arkansas,0,Illegal,0,Illegal,0,Illegal,0,Illegal
California,1996,"Proposition 215 in November 1996 legalized medical marijuana and established a state registry for medical marijuana patients. The Marijuana Policy Project estimates 14.69 per 1,000 residents has a medical marijuana card.",1975,Senate Bill 95 in 1975 reduced possession of less than one ounce of marijuana to a misdemeanor. In 2010 Gov. Arnold Schwarzenegger further reduced penalties to a civil infraction leading to no jail time.,1996,"Marijuana was decriminalized in 1975 by Senate Bill 95, and the state medical marijuana registry was created in 1996 by Proposition 215.",0,Illegal
Colorado,2000,"In November 2000, Colorado voters passed Amendment 20 to the state's constitution, essentially giving medical marijuana patients the right to possession of small amounts of pot. Smokers had to register with the state's Medical Marijuana Registry and could possess no more than two ounces.",1975,"In 1975, Colorado made possession of marijuana under one ounce a petty offense punishable by just a $100 fine, though stricter punishments existed for those in possession of more than that amount.",2000,"Colorado decriminalized small amounts of the drug in 1975, while the state's Medical Marijuana Registry was established in 2000.",2012,"In November 2012, Colorado Amendment 64 was passed by voter initiative with 55% support, setting up the world's first fully legalized market for recreational marijuana. Adults can grow up to three immature and three mature plants, keep unlimited marijuana where it was grown, possess one ounce while traveling, and give up to one ounce as a gift. Recreational dispensaries generally sell up to an ounce of marijuana to in-state customers and up to a quarter ounce to out-of-staters."
Connecticut,2012,Gov. Dannel Malloy approved a law to allow physicians to prescibe medicinal marijuana for patients suffering from debilitating diseases. The first dispensaries will open in 2014.,2011,"Small amounts of marijuana are punishable by a $150 fine, with subsequent offenses carrying a $200-500 fine. Possession within 1500 feet of a school zone, however, is punishable by a minimum of 3 years in prison.",2012,"While small amounts of marijuana were decriminalized in 2011, medical marijuana didn't come to the state until 2012, when Gov. Dannel Malloy signed a law allowing prescription of medical cannabis for patients suffering from certain conditions. The first dispensaries will open in 2014.",0,Illegal
Delaware,2011,"Gov. Jack Markell signed Senate Bill 17 in May 2011, removing state-level criminal penalties on the use and possession of marijuana by patients with an authorized ""debilitating medical condition."" However, implementation has been limited and obtaining a patient license is considered difficult.",0,Illegal,0,Illegal,0,Illegal
Georgia,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Florida,,Illegal,0,Illegal,0,Illegal,0,Illegal
Hawaii,0,"In June 2000, Gov. Benjamin Cayetano signed the first legislative action to approve medical marijuana in U.S. history into law. Eight states had previously decided to allow medical marijuana, but all of those laws were passed by voter initiative.",0,Illegal,0,Illegal,0,Illegal
Idaho,2000,Illegal,0,Illegal,0,Illegal,0,Illegal
Illinois,0,"Medical marijuana was technically legalized in 1978 by the state's Cannabis Control Act, but two state agencies neglected to enforce the law and thus it remained illegal. In August 2013, Gov. Pat Quinn signed a bill allowing medical marijuana in the state, which went into effect on January 1, 2014.",0,Illegal,0,Illegal,0,Illegal
Indiana,2013,Illegal,0,Illegal,0,Illegal,0,Illegal
Iowa,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Kansas,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Kentucky,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Louisiana,0,Illegal,0,Illegal,0,Illegal,0,Illegal
Maine,0,"In November 1999, voters passed Question 2 with 62% of the vote, legalizing medical marijuana.",2009,Gov. John Baldacci signed legislation (LD250) in May 2009 making possession of 2.5 ounces or less of marijuana a civil infraction rather than a misdemeanor or felony.,2013,"Portland, Maine passed Question 1 by 67%, legalizing possession of up to 2.5 ounces of marijuana within the city limits. However, standing laws remain in place throughout the rest of the state.
",0,Illegal
Maryland,1999,"All marijuana remains illegal in Maryland. However, in 2011, the state established affirmative defense for medical marijuana allowing patients to prove they require it for medical purposes at trial to avoid penalty.",0,Illegal,0,Illegal,0,Illegal
